Posted Date,Reference Number,Payee,Address,Amount
09/04/2024,24692164247102489794770,"GOOGLE *Google One 855-836-3987 CA","855-836-3987  CA ",-3.18
09/04/2024,24692164247102489674303,"GOOGLE *Google One 855-836-3987 CA","855-836-3987  CA ",-2.11
09/04/2024,24692164247102097914448,"TST*CURIO Denver CO","Denver        CO ",-17.00
09/03/2024,24706005710039379795979,"Online payment from CHK 6116","",5000.00
09/03/2024,24492154247745322715791,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-10.44
09/03/2024,24492154247743323301232,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
09/03/2024,24492154247743322431493,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-13.78
09/03/2024,24011344247000038758290,"LULU AND GEORGIA HTTPSWWW.LULUCA","HTTPSWWW.LULU CA ",-1203.98
09/03/2024,24342854246017087567637,"RIO CHAMA ESPRESSO CHAMA NM","CHAMA         NM ",-6.20
09/03/2024,24492154246719307578152,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.31
09/03/2024,24204294246003606728021,"LinkedIn Pre P161844294 855-6535653 CA","855-6535653   CA ",-23.90
09/02/2024,24492154246717188735982,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-28.60
09/02/2024,24427334245740267117350,"MAVERIK #5240 COLORADO SPRICO","COLORADO SPRI CO ",-5.18
09/02/2024,24692164244102575226425,"TST*ILLEGAL PETES TABLE Boulder CO","Boulder       CO ",-20.40
08/31/2024,24492154244713856979335,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-46.58
08/31/2024,24789304243242300526900,"GAP ONLINE 800-4277895 OH","800-4277895   OH ",-88.14
08/31/2024,24789304243242300425566,"GAP ONLINE 800-4277895 OH","800-4277895   OH ",-88.42
08/31/2024,24492154243743771388289,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/31/2024,24910164243022811739006,"00601 LOHI ATHLETIC CLUB DENVER CO","DENVER        CO ",-4.50
08/31/2024,24492154243713715506320,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-19.28
08/31/2024,24692164243101705059202,"TST*BAR DOUGH Denver CO","Denver        CO ",-194.95
08/30/2024,24492164243000018121372,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-210.00
08/30/2024,24492154242713641036922,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/29/2024,74568964241434954507600,"FOREIGN TRANSACTION FEE","",-46.24
08/29/2024,74568964241434954507600,"THE RESIDENT VICTORIA LONDON","",-1541.60
08/29/2024,24492154242743522675779,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.53
08/29/2024,24492154242717521316841,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-24.40
08/29/2024,24492154242717508554612,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-12.80
08/29/2024,24492154241719474361767,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.91
08/29/2024,24492154241713465771522,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/29/2024,24692164241100283408817,"SQ *KEALOHA'S BBQ, LLC Denver CO","Denver        CO ",-24.80
08/29/2024,24692164241100261121374,"ZAP*ZAPPOS.COM 800-927-7671 NV","800-927-7671  NV ",-26.24
08/29/2024,24137464241100292045250,"TST* MACHETE TEQUILLA TACDENVER CO","DENVER        CO ",-63.90
08/28/2024,24492154241717366819660,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-14.01
08/28/2024,24492164241000013195688,"TECOVAS 183-38326827 TX","183-38326827  TX ",-897.70
08/28/2024,24492164241000011065842,"MEERMIN US HTTPSMEERMIN.NY","HTTPSMEERMIN. NY ",-350.00
08/28/2024,24011344241000012181465,"ADVANTAGE YOU ADVANTAGEYOU.CO","ADVANTAGEYOU. CO ",-65.00
08/28/2024,24204294240001966119076,"Wrangler 888-7848571 NC","888-7848571   NC ",-70.98
08/28/2024,24492154240717297516147,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.34
08/27/2024,24388864240038085523471,"Patreon* Membership Internet CA","Internet      CA ",-10.88
08/27/2024,24492154240745245210109,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-46.70
08/27/2024,24906414239207649662923,"TSA PreCheck by CLEAR 833-9452644 NY","833-9452644   NY ",-77.95
08/27/2024,24011344240000019941037,"WWW.SWEETGREEN.COM HTTPSWWW.SWEECA","HTTPSWWW.SWEE CA ",-35.91
08/27/2024,24492154239745175708422,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-44.79
08/27/2024,24055234239069873620329,"JETBLUE 27944520064178005382583 NY","8005382583    NY ",-15.00
08/27/2024,24055234239069873619610,"JETBLUE 27944520064168005382583 NY","8005382583    NY ",-50.00
08/27/2024,24492154239717133399297,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.88
08/27/2024,24492164239000019779091,"AJI RESTAURANT HTTPSWWW.CHOWIL","HTTPSWWW.CHOW IL ",-59.47
08/26/2024,24275394238900013592746,"YOGA BOX DENVER 303-2239896 CO","303-2239896   CO ",-99.00
08/26/2024,24492164238000019190746,"REZI RESUME SERVICES REZI.AI WI","REZI.AI       WI ",-29.00
08/26/2024,24011344238000032496179,"LENNYS NEWSLETTER HTTPSWWW.LENNCA","HTTPSWWW.LENN CA ",-15.00
08/26/2024,24692164237106946863559,"SQ *GO FISH Vinalhaven ME","Vinalhaven    ME ",-27.96
08/26/2024,24000774237000009779054,"JACOBANDEZERA HITCHD.COMJACCA","HITCHD.COMJAC CA ",-206.28
08/24/2024,24011344237000003364688,"ZOLA.COM*REGISTRY HTTPSWWW.ZOLANY","HTTPSWWW.ZOLA NY ",-220.36
08/23/2024,24906414235207335907826,"ABC*LOHI ATHLETIC CLUB 303-7615644 CO","303-7615644   CO ",-99.00
08/22/2024,24492164235000020483786,"PILLPACK LLC HTTPSWWW.PILLNH","HTTPSWWW.PILL NH ",-5.23
08/22/2024,24137464235600219705165,"CARVERS HARBOR IGA VINALHAVEN ME","VINALHAVEN    ME ",-32.43
08/22/2024,24011344235000029805716,"CLAUDE.AI SUBSCRIPTION HTTPSWWW.ANTHCA","HTTPSWWW.ANTH CA ",-20.96
08/22/2024,24011344235000030180208,"CITY MUD, LLC CITYMUD.COM CO","CITYMUD.COM   CO ",-295.00
08/22/2024,24692164234104308003701,"SQ *ISLAND SPIRITS VH Vinalhaven ME","Vinalhaven    ME ",-71.84
08/21/2024,24692164233103376845184,"UNITED 0162414331390UNITED.COM TX","UNITED.COM    TX ",-696.53
08/20/2024,24011344233000008206789,"PADDLE.NET* KVORWOOSHY PADDLE.COM NY","PADDLE.COM    NY ",-3.49
08/19/2024,24492164231000026403931,"OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","HTTPSOPENAI.C CA ",-20.00
08/19/2024,24717054231642310100384,"ROCKLAND NORTHHAVEN FERRYROCKLAND ME","ROCKLAND      ME ",-20.25
08/19/2024,24692164230100907734187,"GOOGLE *YouTubePremium g.co/helppay#CA","g.co/helppay# CA ",-13.99
08/19/2024,24391224230061253100082,"J CREW 800-562-0258 VA","800-562-0258  VA ",-27.49
08/19/2024,24492154230717780939121,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-65.92
08/17/2024,24492154230745708569514,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-57.18
08/17/2024,24492154229715652533421,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/17/2024,24492154229713660646947,"UBER EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-27.48
08/17/2024,24692164229109961667103,"UNITED 0162413392864UNITED.COM TX","UNITED.COM    TX ",-476.88
08/17/2024,24055234229060220393423,"JETBLUE 27944512943668005382583 NY","8005382583    NY ",-50.00
08/17/2024,24055234229060220393050,"JETBLUE 27944512943678005382583 NY","8005382583    NY ",-22.00
08/16/2024,24492154229745564485402,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.52
08/16/2024,24492154229745549075989,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/16/2024,24492154229713562855620,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-26.23
08/16/2024,24492164229000016548475,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
08/16/2024,24492154228713487106159,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-7.58
08/15/2024,24492154228743419086492,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/15/2024,24492154227717339936300,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-16.93
08/15/2024,24492154227717338348614,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-20.23
08/15/2024,24011344227000063863647,"OTTER* MR LUCKYS SA TRYOTTER.COM CA","TRYOTTER.COM  CA ",-15.17
08/15/2024,24906414227206770237095,"Hulu 877-8244858 CA HULU.COM/BILLCA","HULU.COM/BILL CA ",-19.57
08/15/2024,24116414227067120077037,"HORSESMARTS 630-406-6008 IL","630-406-6008  IL ",-105.83
08/15/2024,24492154227745330282721,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-5.29
08/15/2024,24492154227719286722220,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-26.49
08/14/2024,24204294227000911978070,"Wrangler 888-7848571 NC","888-7848571   NC ",-94.91
08/14/2024,24492154226717198753656,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.67
08/14/2024,24492154226717202320807,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-12.80
08/14/2024,24492154226715216402520,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-7.65
08/14/2024,24492154226715206884539,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-38.28
08/14/2024,24492154226745190604577,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-11.87
08/14/2024,24793384226001761237028,"Bonobos 877-2947737 OH","877-2947737   OH ",-364.73
08/13/2024,24011344226000002714191,"ADVANTAGE YOU ADVANTAGEYOU.CO","ADVANTAGEYOU. CO ",-65.00
08/13/2024,24000774226000000512614,"PROPER CLOTH HTTPSPROPERCLNY","HTTPSPROPERCL NY ",-374.40
08/13/2024,24492154225717018845725,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-59.36
08/13/2024,24692164225106477190012,"TST*UNDERDOGS TRES San FranciscoCA","San Francisco CA ",-44.03
08/12/2024,24492154225745961920963,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-51.31
08/12/2024,24492154224719928393623,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-8.05
08/12/2024,24011344224000084105401,"STRATECHERY/DITHERING HTTPSSTRATECHCA","HTTPSSTRATECH CA ",-15.00
08/10/2024,24492154223745674796017,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-40.27
08/10/2024,24492154222713590527974,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
08/09/2024,24492164222000018876707,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
08/09/2024,24492154222717501566500,"UBER EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-34.04
08/09/2024,24492154222717490245520,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-19.41
08/09/2024,24011344222000000806480,"BLACKBIRDSPYPLANE.COM HTTPSWWW.BLACCA","HTTPSWWW.BLAC CA ",-5.00
08/09/2024,24055234221052468850675,"JETBLUE 27921606343428005382583 NY","8005382583    NY ",-376.31
08/09/2024,24055234221052468847895,"JETBLUE 27944507199568005382583 NY","8005382583    NY ",-20.00
08/08/2024,24275394220900011874419,"YOGA BOX DENVER 303-2239896 CO","303-2239896   CO ",-20.00
08/08/2024,24492154221717303400412,"ALLIANZ TRAVEL INS ALLIANZINS.USVA","ALLIANZINS.US VA ",-27.74
08/08/2024,24137464221001464194781,"TST* BAMBOO SUSHI - LOHI DENVER CO","DENVER        CO ",-46.08
08/08/2024,24755424220292208307872,"CHARGERBACKLOSTFOUND 800-5154860 NV","800-5154860   NV ",-26.35
08/08/2024,24492154220715251382104,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.70
08/08/2024,24275394220900011504313,"DENVER BEER CO DENVER CO","DENVER        CO ",-29.81
08/07/2024,22083204320080700052043,"PAYMENT - THANK YOU","",4000.00
08/07/2024,24011344220000010099565,"NEWSLETTER: AAKASHG PG HTTPSWWW.NEWSMI","HTTPSWWW.NEWS MI ",-15.00
08/07/2024,24054494219017021721692,"VEGAMOUR 213-325-5112 CA","213-325-5112  CA ",-151.72
08/06/2024,24492154219717997316936,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-17.26
08/06/2024,24492164219000016760072,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-160.00
08/06/2024,24492154218745985298932,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-7.34
08/06/2024,24011344218000071704867,"OTT* DROPOUT HTTPSWWW.DROPCA","HTTPSWWW.DROP CA ",-52.22
08/06/2024,24492154218745889208789,"UBER TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-36.74
08/06/2024,24692164218100487478664,"CRATE&BARREL CB2 NOD 800-967-6696 IL","800-967-6696  IL ",-47.51
08/06/2024,24692164218100463380751,"TST*BLACKBELLY MARKET Boulder CO","Boulder       CO ",-6.35
08/06/2024,24692164218100463380702,"TST*BLACKBELLY MARKET Boulder CO","Boulder       CO ",-23.26
